question,answer,category,hospital
How do I book with a gynecology specialist at Kenyatta National Hospital?,"To book with a gynecology specialist at Kenyatta National Hospital, call +254-20-2726300 or visit the hospital. Referrals may be required for some specialties.",specialist_booking,kenyatta_national
What qualifications do gynecology doctors have at Kenyatta National Hospital?,"Our gynecology doctors at Kenyatta National Hospital have medical degrees, specialized training, and are registered with the Kenya Medical Practitioners and Dentists Council.",doctor_qualifications,kenyatta_national
Who are the urology doctors at Nairobi Hospital?,Nairobi Hospital has qualified urology specialists with extensive training and experience. Our doctors are board-certified and provide expert medical care.,doctor_profiles,nairobi_hospital
How do I book with a urology specialist at Nairobi Hospital?,"To book with a urology specialist at Nairobi Hospital, call +254-20-2845000 or visit the hospital. Referrals may be required for some specialties.",specialist_booking,nairobi_hospital
What qualifications do urology doctors have at Nairobi Hospital?,"Our urology doctors at Nairobi Hospital have medical degrees, specialized training, and are registered with the Kenya Medical Practitioners and Dentists Council.",doctor_qualifications,nairobi_hospital
Who are the urology doctors at Kenyatta National Hospital?,Kenyatta National Hospital has qualified urology specialists with extensive training and experience. Our doctors are board-certified and provide expert medical care.,doctor_profiles,kenyatta_national
How do I book with a urology specialist at Kenyatta National Hospital?,"To book with a urology specialist at Kenyatta National Hospital, call +254-20-2726300 or visit the hospital. Referrals may be required for some specialties.",specialist_booking,kenyatta_national
What qualifications do urology doctors have at Kenyatta National Hospital?,"Our urology doctors at Kenyatta National Hospital have medical degrees, specialized training, and are registered with the Kenya Medical Practitioners and Dentists Council.",doctor_qualifications,kenyatta_national
Who are the nephrology doctors at Nairobi Hospital?,Nairobi Hospital has qualified nephrology specialists with extensive training and experience. Our doctors are board-certified and provide expert medical care.,doctor_profiles,nairobi_hospital
How do I book with a nephrology specialist at Nairobi Hospital?,"To book with a nephrology specialist at Nairobi Hospital, call +254-20-2845000 or visit the hospital. Referrals may be required for some specialties.",specialist_booking,nairobi_hospital
What qualifications do nephrology doctors have at Nairobi Hospital?,"Our nephrology doctors at Nairobi Hospital have medical degrees, specialized training, and are registered with the Kenya Medical Practitioners and Dentists Council.",doctor_qualifications,nairobi_hospital
Who are the nephrology doctors at Kenyatta National Hospital?,Kenyatta National Hospital has qualified nephrology specialists with extensive training and experience. Our doctors are board-certified and provide expert medical care.,doctor_profiles,kenyatta_national
How do I book with a nephrology specialist at Kenyatta National Hospital?,"To book with a nephrology specialist at Kenyatta National Hospital, call +254-20-2726300 or visit the hospital. Referrals may be required for some specialties.",specialist_booking,kenyatta_national
What qualifications do nephrology doctors have at Kenyatta National Hospital?,"Our nephrology doctors at Kenyatta National Hospital have medical degrees, specialized training, and are registered with the Kenya Medical Practitioners and Dentists Council.",doctor_qualifications,kenyatta_national
Who are the endocrinology doctors at Nairobi Hospital?,Nairobi Hospital has qualified endocrinology specialists with extensive training and experience. Our doctors are board-certified and provide expert medical care.,doctor_profiles,nairobi_hospital
How do I book with a endocrinology specialist at Nairobi Hospital?,"To book with a endocrinology specialist at Nairobi Hospital, call +254-20-2845000 or visit the hospital. Referrals may be required for some specialties.",specialist_booking,nairobi_hospital
What qualifications do endocrinology doctors have at Nairobi Hospital?,"Our endocrinology doctors at Nairobi Hospital have medical degrees, specialized training, and are registered with the Kenya Medical Practitioners and Dentists Council.",doctor_qualifications,nairobi_hospital
Who are the endocrinology doctors at Kenyatta National Hospital?,Kenyatta National Hospital has qualified endocrinology specialists with extensive training and experience. Our doctors are board-certified and provide expert medical care.,doctor_profiles,kenyatta_national
How do I book with a endocrinology specialist at Kenyatta National Hospital?,"To book with a endocrinology specialist at Kenyatta National Hospital, call +254-20-2726300 or visit the hospital. Referrals may be required for some specialties.",specialist_booking,kenyatta_national
What qualifications do endocrinology doctors have at Kenyatta National Hospital?,"Our endocrinology doctors at Kenyatta National Hospital have medical degrees, specialized training, and are registered with the Kenya Medical Practitioners and Dentists Council.",doctor_qualifications,kenyatta_national
Who are the pulmonology doctors at Nairobi Hospital?,Nairobi Hospital has qualified pulmonology specialists with extensive training and experience. Our doctors are board-certified and provide expert medical care.,doctor_profiles,nairobi_hospital
How do I book with a pulmonology specialist at Nairobi Hospital?,"To book with a pulmonology specialist at Nairobi Hospital, call +254-20-2845000 or visit the hospital. Referrals may be required for some specialties.",specialist_booking,nairobi_hospital
What qualifications do pulmonology doctors have at Nairobi Hospital?,"Our pulmonology doctors at Nairobi Hospital have medical degrees, specialized training, and are registered with the Kenya Medical Practitioners and Dentists Council.",doctor_qualifications,nairobi_hospital
Who are the pulmonology doctors at Kenyatta National Hospital?,Kenyatta National Hospital has qualified pulmonology specialists with extensive training and experience. Our doctors are board-certified and provide expert medical care.,doctor_profiles,kenyatta_national
How do I book with a pulmonology specialist at Kenyatta National Hospital?,"To book with a pulmonology specialist at Kenyatta National Hospital, call +254-20-2726300 or visit the hospital. Referrals may be required for some specialties.",specialist_booking,kenyatta_national
